NSN,rep_office,common_name,Description,Price,UI,AAC
7110-01-622-2845,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-2847,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",1236.7,EA,H
7110-01-622-2848,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-2850,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",1236.7,EA,H
7110-01-622-2852,Office Furniture,High Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive off",955.26,EA,H
7110-01-622-2854,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",1236.7,EA,H
7110-01-622-2856,Office Furniture,Mid Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offi",1236.7,EA,H
7110-01-622-2857,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2858,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2861,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2865,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2868,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-2869,Office Furniture,High Back with Head Roll,"Walnut Finish Wood Base. High back traditional style judge's chair with head roll.  Due to current supply chain issues, delivery of this NSN may be delayed.",1189.72,EA,H
7110-01-622-2871,Office Furniture,High Back with Head Roll,"Walnut Finish Wood Base. High back traditional style judge's chair with head roll.  Due to current supply chain issues, delivery of this NSN may be delayed.",1189.72,EA,H
7110-01-622-2872,Office Furniture,Mid Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offi",914.55,EA,H
7110-01-622-2874,Office Furniture,High Back with Head Roll,"Walnut Finish Wood Base. High back traditional style judge's chair with head roll.  Due to current supply chain issues, delivery of this NSN may be delayed.",1189.72,EA,H
7110-01-622-2875,Office Furniture,High Back with Head Roll,"Walnut Finish Wood Base. High back traditional style judge's chair with head roll.  Due to current supply chain issues, delivery of this NSN may be delayed.",1189.72,EA,H
7110-01-622-2876,Office Furniture,High Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive off",955.26,EA,H
7110-01-622-3175,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3176,Office Furniture,Armless Guest Chair,"Mahogany Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3178,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3181,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3183,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3185,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3186,Office Furniture,Armless Guest Chair,"Mahogany Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3188,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3192,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",570.47,EA,H
7110-01-622-3207,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",629.53,EA,H
7110-01-622-3210,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",629.53,EA,H
7110-01-622-3213,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",456.02,EA,H
7110-01-622-3215,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",440.39,EA,H
7110-01-622-3217,Office Furniture,Open Arm Guest Chair,"Mahogany Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating",629.53,EA,H
7110-01-622-3218,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",629.53,EA,H
7110-01-622-3221,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",629.53,EA,H
7110-01-622-3223,Office Furniture,Open Arm Guest Chair,"Mahogany Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating",629.53,EA,H
7110-01-622-3225,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",451.4,EA,H
7110-01-622-3227,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",785.24,EA,H
7110-01-622-3229,Office Furniture,Open Arm Guest Chair,"Walnut Finish Wood Frame. Traditional style straight side or guest features an open arm design with walnut or mahogany finish wood frame. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office seating i",629.53,EA,H
7110-01-622-3231,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",785.24,EA,H
7110-01-622-3235,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",785.24,EA,H
7110-01-622-3238,Office Furniture,Armless Guest Chair,"Walnut Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",785.24,EA,H
7110-01-622-3242,Office Furniture,Armless Guest Chair,"Mahogany Finish Wood Base. Traditional style armless straight, guest or side chair. Due to current supply chain issues, delivery of this NSN may be delayed.",785.24,EA,H
7110-01-622-3269,Office Furniture,High Back with Head Roll,"Mahogany Finish Wood Base. High back traditional style judge's chair with head roll.  Due to current supply chain issues, delivery of this NSN may be delayed.",1189.72,EA,H
7110-01-622-3273,Office Furniture,High Back with Head Roll,"Mahogany Finish Wood Base. High back traditional style judge's chair with head roll.  Due to current supply chain issues, delivery of this NSN may be delayed.",1189.72,EA,H
